Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U21.P1     MSOP-8                18.45mm        2.65mm       18.45mm        2.65mm       16.45mm       1.675mm  B        360.00 AD8418WBRMZ    
U1.P9      DFN8-NCP               12.6mm       31.25mm        12.6mm       31.25mm      13.775mm        30.5mm  T        180.00 NCP45521       
U1.P8      DFN8-NCP               19.1mm       31.25mm        19.1mm       31.25mm      20.275mm        30.5mm  T        180.00 NCP45521       
U1.P7      DFN8-NCP               26.1mm       31.25mm        26.1mm       31.25mm      27.275mm        30.5mm  T        180.00 NCP45521       
U1.P6      DFN8-NCP               26.1mm       21.75mm        26.1mm       21.75mm      27.275mm          21mm  T        180.00 NCP45521       
U1.P5      DFN8-NCP               19.1mm       21.75mm        19.1mm       21.75mm      20.275mm          21mm  T        180.00 NCP45521       
U1.P4      DFN8-NCP               26.1mm       12.25mm        26.1mm       12.25mm      27.275mm        11.5mm  T        180.00 NCP45521       
U1.P3      DFN8-NCP               19.1mm       12.25mm        19.1mm       12.25mm      20.275mm        11.5mm  T        180.00 NCP45521       
U1.P2      DFN8-NCP               26.1mm        2.75mm        26.1mm        2.75mm      27.275mm           2mm  T        180.00 NCP45521       
U1.P1      DFN8-NCP               19.1mm        2.75mm        19.1mm        2.75mm      20.275mm           2mm  T        180.00 NCP45521       
R24.Bu3    0402                   38.5mm        25.5mm        38.5mm        25.5mm        38.5mm          25mm  B         90.00 Res3           
R24.Bu2    0402                   38.5mm          13mm        38.5mm          13mm        38.5mm        12.5mm  B         90.00 Res3           
R24.Bu1    0402                   38.5mm         0.5mm        38.5mm         0.5mm        38.5mm           0mm  B         90.00 Res3           
R23.Bu3    0402                     46mm        28.5mm          46mm        28.5mm          46mm          29mm  B        270.00 Res3           
R23.Bu2    0402                     46mm          16mm          46mm          16mm          46mm        16.5mm  B        270.00 Res3           
R23.Bu1    0402                     46mm         3.5mm          46mm         3.5mm          46mm           4mm  B        270.00 Res3           
R22.Bu3    0402                   44.5mm        25.5mm        44.5mm        25.5mm        44.5mm          26mm  B        270.00 Res3           
R22.Bu2    0402                   44.5mm          13mm        44.5mm          13mm        44.5mm        13.5mm  B        270.00 Res3           
R22.Bu1    0402                   44.5mm         0.5mm        44.5mm         0.5mm        44.5mm           1mm  B        270.00 Res3           
R21        J1-0603              48.175mm      33.575mm      48.175mm      33.575mm      48.925mm      33.575mm  B        180.00 Res3           
R17        0402                 34.525mm       15.25mm      34.525mm       15.25mm      34.525mm       14.75mm  B         90.00 Res3           
R16        0402                 32.925mm      12.625mm      32.925mm      12.625mm      33.425mm      12.625mm  B        180.00 Res3           
R13.Bu3    0402                   43.5mm        25.5mm        43.5mm        25.5mm        43.5mm          25mm  B         90.00 Res3           
R13.Bu2    0402                   43.5mm          13mm        43.5mm          13mm        43.5mm        12.5mm  B         90.00 Res3           
R13.Bu1    0402                   43.5mm         0.5mm        43.5mm         0.5mm        43.5mm           0mm  B         90.00 Res3           
R12.Bu3    0402                   41.5mm        25.5mm        41.5mm        25.5mm        41.5mm          26mm  B        270.00 Res3           
R12.Bu2    0402                   41.5mm          13mm        41.5mm          13mm        41.5mm        13.5mm  B        270.00 Res3           
R12.Bu1    0402                   41.5mm         0.5mm        41.5mm         0.5mm        41.5mm           1mm  B        270.00 Res3           
R11.Bu3    0402                   39.5mm        25.5mm        39.5mm        25.5mm        39.5mm          26mm  B        270.00 Res3           
R11.Bu2    0402                   39.5mm          13mm        39.5mm          13mm        39.5mm        13.5mm  B        270.00 Res3           
R11.Bu1    0402                   39.5mm         0.5mm        39.5mm         0.5mm        39.5mm           1mm  B        270.00 Res3           
R10.Bu3    0402                     46mm        30.5mm          46mm        30.5mm          46mm          30mm  B         90.00 Res3           
R10.Bu2    0402                     46mm          18mm          46mm          18mm          46mm        17.5mm  B         90.00 Res3           
R10.Bu1    0402                     46mm         5.5mm          46mm         5.5mm          46mm           5mm  B         90.00 Res3           
R8.P9      0402                10.6094mm      17.725mm     10.6094mm      17.725mm     10.6094mm      18.225mm  B        270.00 Res3           
R8.P8      0402                12.9375mm      17.725mm     12.9375mm      17.725mm     12.9375mm      18.225mm  B        270.00 Res3           
R8.P7      0402                  13.45mm      19.375mm       13.45mm      19.375mm       13.95mm      19.375mm  B        180.00 Res3           
R8.P6      0402                12.9375mm     15.2333mm     12.9375mm     15.2333mm     12.9375mm     15.7333mm  B        270.00 Res3           
R8.P5      0402                10.6094mm     15.2333mm     10.6094mm     15.2333mm     10.6094mm     15.7333mm  B        270.00 Res3           
R8.P4      0402                12.9375mm     12.7417mm     12.9375mm     12.7417mm     12.9375mm     13.2417mm  B        270.00 Res3           
R8.P3      0402                10.6094mm     12.7417mm     10.6094mm     12.7417mm     10.6094mm     13.2417mm  B        270.00 Res3           
R8.P2      0402                12.9375mm       10.25mm     12.9375mm       10.25mm     12.9375mm       10.75mm  B        270.00 Res3           
R8.P1      0402                10.6094mm       10.25mm     10.6094mm       10.25mm     10.6094mm       10.75mm  B        270.00 Res3           
R6.P9      0402                   13.2mm        33.8mm        13.2mm        33.8mm        13.2mm        34.3mm  B        270.00 Res3           
R6.P8      0402                   19.7mm        33.8mm        19.7mm        33.8mm        19.7mm        34.3mm  B        270.00 Res3           
R6.P7      0402                   26.7mm        33.8mm        26.7mm        33.8mm        26.7mm        34.3mm  B        270.00 Res3           
R6.P6      0402                   26.7mm        24.3mm        26.7mm        24.3mm        26.7mm        24.8mm  B        270.00 Res3           
R6.P5      0402                   19.7mm        24.3mm        19.7mm        24.3mm        19.7mm        24.8mm  B        270.00 Res3           
R6.P4      0402                   26.7mm        14.8mm        26.7mm        14.8mm        26.7mm        15.3mm  B        270.00 Res3           
