Field=#~Integer~#~50|Field=Designator~String~Designator~112|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer number~String~Manufacturer number~100|Field=Part Number~String~Part Number~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 4~String~Supplier 4~100|Field=Value~String~Value~100|Field=Supplier Part Number 4~String~Supplier Part Number 4~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Anode.PrjPcb|ReportField=ProjectFullPath~C:\Users\timGo\Documents\GitHub\Hardware\nanopower\solar-panels\modular-panel\anode-cell\Anode.PrjPcb|ReportField=Title~Bill of Materials For Variant [default_smd] of Project [Anode.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~3|ReportField=ReportTime~09:59:41|ReportField=ReportDate~03-03-2017|ReportField=ReportDateTime~03-03-2017 09:59:41|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~default_smd|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Tim Andersen|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~03-03-2017|ReportField=CurrentTime~09:52:59|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\timGo\Documents\GitHub\Hardware\nanopower\solar-panels\modular-panel\anode-cell\Anode.SchDoc|ReportField=DocumentName~Anode.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~03-03-2017|ReportField=Organization~|ReportField=ProjectName~Anode.PrjPcb|ReportField=Revision~0.98|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~NanoPower mod-ano|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Anode.PrjPcb|ReportField=DataSourceFullPath~C:\Users\timGo\Documents\GitHub\Hardware\nanopower\solar-panels\modular-panel\anode-cell\Anode.PrjPcb
1|D1|Photo Sen|Solderable Planar Photodiode|Silonex|SLCD-61N8|16000004|1|Gomspace ApS|SLCD-61N8|469
2|PV1|3G30C-anode|3G30A solar cell with anode tabs and with bypass diode tab.|AZURSPACE|3G30A w. bypass|80000004|1|Gomspace ApS|3G30A anode w. diode|2518
3|TR1|PT100|PLATINUM THIN FILM SMD 0805 SENS|Vishay|PTS0805M1B100RP100 |16000003|1|Gomspace ApS|PT100|6171
