"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J2","504050-0491","101.355mm","68.205mm","101.355mm","68.205mm","99.105mm","70.8mm","T","360.00","504050-0491"
"J1","504050-0491","110.403mm","71.3mm","110.403mm","71.3mm","107.808mm","69.05mm","T","90.00","504050-0491"
"D1","ss10p4","103.305mm","74.9mm","105.71mm","74.9mm","105.71mm","74.9mm","T","90.00","SS10P4"

