Netlist

Exported from PowerSupply_Rev4.brd at 12/7/10 9:29 AM

EAGLE Version 5.7.0 Copyright (c) 1988-2010 CadSoft

Net      Part     Pad

+3V3     C-IC16-1 1
         T5       1

N$13     C14      1
         IC6      P$7

N$14     IC19     P$5
         R20      1

N$15     C12      1
         C13      1
         IC5      3
         R16      1
         R17      2
         R18      2

N$16     C16      1
         IC19     P$7

N$17     R102     1
         T10      E
         T9       C

N$18     R99      1
         T8       C

N$19     IC19     P$6
         R105     1
         R106     2

N$20     IC6      P$6
         R21      1
         R22      2

N$21     C20      2
         IC19     P$3

N$22     C20      1
         D3       P$3
         IC19     P$1
         L3       P$1

N$23     C21      2
         IC6      P$3

N$24     Q5       B
         R102     2
         R104     1
         R99      2

N$25     R27      2
         R28      1
         T6       1
         T7       1

N$26     R27      1
         T10      C

N$27     C15      1
         R29      1
         R31      2
         R32      2
         T9       B

N$28     JP6      PLUS
         R30      1
         T8       B

N$29     JP5      PLUS
         T8       E
         U$14     P$1

N$30     JP7      PLUS
         R32      1

N$31     C21      1
         D2       P$3
         IC6      P$1
         L2       P$1

N$32     IC4      4
         R23      2

N$33     C46      1
         R50      2
         R51      2
         U$11     5

N$34     C47      1
         R52      2
         U$11     10

N$35     C49      1
         R54      2
         R55      2
         U$10     3

N$36     IC8      4
         R33      2

N$37     L4       2
         R59      2

N$38     C48      1
         R53      2
         U$11     12

N$39     C60      2
         IC17     1
         Q3       P$3
         R77      1

N$40     IC9      4
         R36      2

N$41     C50      1
         R56      2
         R57      2
         U$10     5

N$42     J1       H1-$23
         R58      1

N$43     J1       H1-$21
         R66      1

N$44     IC10     4
         R39      2

N$45     C55      1
         IC16     24
         Q2       P$2

N$46     C69      2
         D7       A
         R85      2
         R86      1

N$47     C54      1
         IC16     23
         Q2       P$1

N$48     IC11     4
         R42      2

N$50     IC16     1
         R12      1

N$51     C56      1
         R63      2
         U$10     10

N$52     IC12     4
         R45      2

N$53     J1       H1-$19
         R67      1

N$54     C57      2
         D4       A
         R64      2
         R65      1

N$55     J1       H1-$17
         R68      1

N$56     C70      2
         D8       A
         R87      2
         R88      1

N$57     J1       H1-$15
         R69      1

N$58     J1       H1-$13
         R70      1

N$59     R84      1
         T14      1
         T5       3

N$60     R98      2
         U$13     P$1

N$61     R78      1
         T4       2
         T4       4

N$63     D5       P$1
         D5       P$2
         L6       P$2
         Q3       P$1
         Q3       P$2
         Q3       P$5
         Q3       P$6

N$64     J1       H1-$11
         R71      1

N$66     C64      1
         C65      1
         IC20     3
         R81      1
         R82      2
         R83      2

N$67     C65      2
         IC20     1
         Q4       P$3
         R83      1

N$68     D6       P$1
         D6       P$2
         L7       P$2
         Q4       P$1
         Q4       P$2
         Q4       P$5
         Q4       P$6

N$69     J1       H2-$47
         R96      2

N$70     J1       H2-$49
         R91      1

N$71     J1       H2-$48
         R92      1

N$72     J1       H2-$52
         R94      2

N$73     C57      1
         IC16     15

N$74     C69      1
         IC16     16

N$75     C70      1
         IC16     17

N$76     R63      1
         U$12     8

N$77     IC23     2
         U$12     2

N$78     IC24     2
         U$12     9

N$79     IC25     2
         U$12     4

N$80     IC26     2
         U$12     7

N$81     J1       H2-$50
         R95      2

N$82     J1       H1-$24
         R90      2

N$83     J1       H1-$22
         R93      2

N$84     J1       H1-$20
         R97      2

N$86     D12      P$1
         D12      P$2
         R78      2

N$87     R26      2
         T10      B

N$88     J2       P$12
         R107     2

N$89     J2       P$5
         R101     1

N$90     J2       P$6
         R100     1

N$92     J1       H2-$38
         R108     1

N$93     J1       H2-$36
         R109     1

N$94     Q10      E
         Q11      E
         Q6       E
         Q7       E
         Q8       E
         Q9       E
         R110     1
         R116     2

N$95     Q6       B
         R111     1

N$96     Q7       B
         R112     1

N$97     Q8       B
         R113     1

N$98     Q9       B
         R114     1

N$99     IC16     46
         R120     2
         R125     1

N$100    R116     1
         R117     1
         T11      B

N$101    Q10      B
         R115     1

N$102    IC16     47
         R121     2
         R124     1

N$103    Q11      B
         R119     1

N$104    IC16     48
         R122     2
         R123     1

N$106    C42      1
         IC16     64
         UREF1    3

OUT-3.3-1 C28      +
         IC11     6
         IC11     8
         IC16     49
         J1       H1-$48
         R114     2

OUT-3.3-2 C27      +
         IC10     6
         IC10     8
         IC16     50
         J1       H1-$50
         R115     2

OUT-3.3-3 C29      +
         IC12     6
         IC12     8
         IC16     51
         J1       H1-$52
         R119     2

OUT-5-1  C25      +
         IC8      6
         IC8      8
         J1       H1-$47
         R111     2
         R120     1

OUT-5-2  C26      +
         IC4      6
         IC4      8
         J1       H1-$49
         R112     2
         R121     1

OUT-5-3  C24      +
         IC9      6
         IC9      8
         J1       H1-$51
         R113     2
         R122     1

PPT_CONTROL IC7      1
         R14      2
         R15      2

PPT_IN1  C1       1
         D8       C
         IC1      4
         R1       1
         R2       2
         R90      1
         T1       1

PPT_IN2  C58      1
         D7       C
         IC17     4
         R73      1
         R74      2
         R93      1
         T2       1

PPT_IN3  C63      1
         D4       C
         IC20     4
         R79      1
         R80      2
         R97      1
         T3       1

PWR_OUT_BOOST C10      2
         C53      1
         IC21     1
         IC3      4
         Q5       E
         R104     2
         R28      2
         R30      2
         R7       2
         T6       3
         T7       3

PWR_OUT_KS C17      +
         C18      1
         C19      +
         C44      1
         IC19     P$2
         IC6      P$2
         J1       H2-$45
         J1       H2-$46
         R50      1
         T6       2
         T6       4
         T7       2
         T7       4

RAW_BATT J2       P$1
         J2       P$15
         J2       P$16
         J2       P$2
         JP10     3
         JP10     4
         P30U-BATT PLUS
         R98      1

RS232/RX IC16     27
         R109     2

RS232/TX IC16     28
         R108     2

SCK      IC16     11
         J3       P$2
         R100     2

SUN_IN1  C4       +
         JP1      PLUS
         JP2      PLUS
         L1       P$1
         R3       2
         R48      1

SUN_IN1/OUT IC16     57
         R96      1
         U$10     13
         U$10     14

SUN_IN2  C62      +
         JP3      PLUS
         JP4      PLUS
         L6       P$1
         R54      1
         R75      2

SUN_IN2/OUT IC16     55
         R91      2
         U$10     1
         U$10     2

SUN_IN3  C67      +
         D12      P$3
         JP8      PLUS
         JP9      PLUS
         L7       P$1
         R56      1
         R81      2

SUN_IN3/OUT IC16     58
         R92      2
         U$10     6
         U$10     7

SW_FAULT IC16     9
         R118     1
         T11      E

TEMP/OUT IC16     56
         U$10     8
         U$10     9

TMP7     D11      C
         D9       C
         IC21     3
         R126     2

USB_PWR  D11      A
         J1       H1-$32
         JP11     PLUS
         R84      2
         R89      2
         T4       3

V+       C-IC13   1
         C-IC14   1
         C-IC2    1
         C-IC3    1
         C-IC4    1
         C52      1
         IC2      5
         IC23     1
         IC24     1
         IC25     1
         IC26     1
         IC3      5
         R129     2
         R59      1
         U$10     4
         U$11     4
         U$12     6

V_BAT    C10      1
         C9       2
         F1       2
         IC2      4
         IC3      3
         R127     2
         R6       2
         R7       1
         T12      2

V_BAT/OUT IC16     59
         U$11     6
         U$11     7

